,0
456,1317228.625
457,1316234.375
458,1315132.75
459,1311325.25
460,1301713.75
461,1299658.125
462,1307189.375
463,1311128.625
464,1336643.0
465,1344323.375
466,1335244.0
467,1322287.375
468,1327748.625
469,1326073.125
470,1313942.5
471,1317477.25
472,1295622.875
473,1295145.125
474,1315878.25
475,1313813.5
476,1301606.5
477,1280532.625
478,1297542.875
479,1284135.875
480,1283139.25
481,1271448.75
482,1294274.875
483,1311156.25
484,1313034.0
485,1313430.125
486,1309325.625
487,1319778.625
488,1320401.75
489,1327819.375
490,1334495.875
491,1337116.375
492,1328485.625
493,1331269.25
494,1328077.375
495,1333792.25
496,1340678.25
497,1346857.375
498,1343977.375
499,1348369.875
500,1348459.875
501,1345537.375
502,1343450.125
503,1343602.0
504,1364948.0
505,1366554.625
506,1371581.0
507,1364989.625
508,1359903.625
509,1354581.25
510,1357867.75
511,1371250.0
512,1363875.625
513,1375098.375
514,1375160.0
515,1353071.875
516,1354185.5
517,1359444.75
518,1363735.125
519,1350719.375
520,1350229.5
521,1355587.25
522,1336137.375
523,1345898.75
524,1360712.5
525,1359041.0
526,1358627.25
527,1357059.5
528,1366319.75
529,1374375.125
530,1365587.25
531,1363914.75
532,1371917.5
533,1373060.5
534,1372349.25
535,1377364.125
536,1377176.125
537,1384472.875
538,1362646.875
539,1359919.75
540,1358574.375
541,1366886.875
542,1374199.875
543,1356110.25
544,1355803.75
545,1375150.25
546,1362135.375
547,1352084.25
548,1366817.875
549,1366613.125
550,1343431.375
551,1349812.875
552,1342113.875
553,1331566.0
554,1306600.125
555,1324319.5
556,1340382.375
557,1354995.5
558,1354689.5
559,1356657.375
560,1362116.25
561,1362403.375
562,1357786.75
563,1370507.5
564,1377481.0
565,1373400.375
566,1379977.875
567,1380999.0
568,1382823.0
569,1389204.25
570,1387576.0
571,1384903.25
572,1382437.875
573,1367869.5
574,1365510.375
575,1358944.25
576,1364569.5
577,1350178.875
578,1355830.625
579,1373061.25
580,1376818.375
581,1373153.5
582,1387508.125
583,1393437.125
584,1391964.75
585,1394517.125
586,1392905.75
587,1393261.25
588,1384790.875
589,1371971.375
590,1373686.625
591,1376760.75
592,1383302.375
593,1369430.5
594,1368051.25
595,1357335.875
596,1351580.25
597,1349955.625
598,1358998.0
599,1359738.375
600,1343065.75
601,1335380.25
602,1335174.375
603,1337608.375
604,1336340.25
605,1344479.625
606,1357770.5
607,1330926.5
608,1324677.75
609,1320687.25
610,1310076.25
611,1307671.5
612,1303467.375
613,1315679.0
614,1308393.75
615,1311747.625
616,1320047.75
617,1300540.0
618,1305906.125
619,1310476.375
620,1312535.625
621,1323971.5
622,1315571.0
623,1305032.125
624,1291688.5
625,1298956.875
626,1308407.0
627,1319909.0
628,1332229.75
629,1352575.75
630,1347936.625
631,1349459.75
632,1360888.375
633,1352906.375
634,1333502.25
635,1326231.375
636,1332037.25
637,1329348.25
638,1334446.625
639,1325146.375
640,1337940.75
641,1345496.0
642,1365439.75
643,1354617.625
644,1350169.125
645,1340455.75
646,1313635.875
647,1310390.625
648,1301165.75
649,1300433.75
650,1274488.375
651,1276887.125
652,1220680.375
653,1221634.5
654,1143972.125
655,1194509.25
656,1128831.625
657,1181112.75
658,1187686.125
659,1211311.375
660,1195851.0
661,1193575.125
662,1147987.375
663,1136025.625
664,1124008.5
665,1155477.75
666,1175015.125
667,1159066.0
668,1175190.625
669,1207075.875
670,1205515.75
671,1215790.25
672,1194503.125
673,1158949.0
674,1145098.0
675,1181561.75
676,1160936.0
677,1127958.625
678,1134919.625
679,1140599.125
680,1153980.375
681,1176252.375
682,1176727.0
683,1159671.0
684,1150749.125
685,1109191.5
686,1064275.25
687,1071059.375
688,1101929.25
689,1114127.0
690,1088294.25
691,1106918.125
692,1078864.375
693,1044726.0
694,1069080.375
695,1083904.875
696,1105924.75
697,1089379.125
698,1123934.25
699,1125474.75
700,1141202.25
701,1130320.875
702,1147561.25
703,1124718.375
704,1153720.0
705,1144611.0
706,1152266.125
707,1175593.625
708,1194079.375
709,1171602.375
710,1188419.25
711,1232212.25
712,1233678.875
713,1201876.5
714,1169254.0
715,1187085.5
716,1204617.75
717,1197312.75
718,1201100.0
719,1215139.125
720,1168917.75
721,1179524.375
722,1206155.375
723,1197799.625
724,1197845.5
725,1173298.75
726,1155007.5
727,1152994.5
728,1130356.5
729,1123109.875
730,1098101.375
731,1095110.75
732,1129140.75
733,1126293.0
734,1186846.125
735,1178758.625
736,1186119.125
737,1198647.875
738,1201373.625
739,1207393.375
740,1178122.25
741,1202168.125
742,1178870.875
743,1163027.25
744,1144488.25
745,1148678.5
746,1148134.625
747,1135714.625
748,1174339.0
749,1175158.0
750,1187173.75
751,1196002.25
752,1191402.875
753,1175257.375
754,1189651.875
755,1182998.625
756,1214621.5
757,1216135.625
758,1220651.75
759,1215020.375
760,1220898.75
761,1237620.875
762,1239028.75
763,1245571.25
764,1236978.625
765,1237473.875
766,1259962.375
767,1271604.25
768,1278706.25
769,1279166.25
770,1279223.125
771,1288801.875
772,1290723.125
773,1288896.125
774,1284748.875
775,1284071.375
776,1295143.75
777,1293542.75
778,1319957.875
779,1318454.125
780,1318159.25
781,1320266.125
782,1315785.875
783,1306318.25
784,1318636.625
785,1316056.0
786,1305009.625
787,1318754.75
788,1324863.125
789,1327032.75
790,1321231.75
791,1331425.5
792,1332640.625
793,1338438.5
794,1342260.875
795,1333956.0
796,1349505.125
797,1345808.25
798,1337832.875
799,1306197.25
800,1321128.625
801,1335503.5
802,1340113.125
803,1335615.625
804,1379388.5
805,1372190.375
806,1385052.375
807,1382372.125
808,1388228.875
809,1380735.625
810,1374886.5
811,1363919.875
812,1373196.5
813,1392420.625
814,1384308.5
815,1376332.25
816,1373314.625
817,1379244.375
818,1385201.875
819,1374391.0
820,1358913.5
821,1354120.0
822,1340078.875
823,1314550.75
824,1329719.625
825,1355415.125
826,1333422.75
827,1340464.0
828,1356232.375
829,1345165.25
830,1336504.0
831,1339736.375
832,1333383.25
833,1342846.25
834,1346111.75
835,1359934.875
836,1360606.0
837,1355515.0
838,1363031.5
839,1359397.125
840,1351568.125
841,1329070.875
842,1328691.5
843,1323115.0
844,1312512.875
845,1312078.0
846,1291425.75
847,1274076.875
848,1270158.375
849,1261349.0
850,1238432.75
851,1229909.5
852,1243729.625
853,1251395.5
854,1256939.25
855,1254355.875
856,1245704.375
857,1260487.0
858,1238024.5
859,1237351.875
860,1204232.875
861,1194894.625
862,1204846.125
863,1234654.375
864,1236121.625
865,1248260.0
866,1228814.25
867,1248136.25
868,1237682.625
869,1248884.875
870,1265247.375
871,1260139.5
872,1275177.125
873,1276428.875
874,1248375.5
875,1254140.0
876,1235644.375
877,1239644.25
878,1251431.375
879,1245089.625
880,1268875.375
881,1270078.5
882,1278010.5
883,1268970.375
884,1254892.5
885,1249681.25
886,1238463.875
887,1237477.75
888,1233144.125
889,1257732.5
890,1250110.25
891,1253915.5
892,1266779.0
893,1271890.0
894,1260442.0
895,1255241.5
896,1251840.375
897,1257085.875
898,1279465.625
899,1304895.375
900,1299599.75
901,1292053.625
902,1286121.5
903,1276188.5
904,1301445.875
905,1304520.75
906,1314689.75
907,1315605.625
908,1316221.625
909,1318662.625
910,1316656.5
911,1315728.25
912,1312811.125
913,1321021.25
914,1326366.625
915,1328059.375
916,1323159.5
917,1319266.25
918,1309229.0
919,1318088.0
920,1315109.0
921,1312960.75
922,1316811.75
923,1303182.125
924,1313217.875
925,1306689.375
926,1309947.625
927,1339814.25
928,1351783.375
929,1345910.5
930,1355362.25
931,1363021.125
932,1387647.75
933,1392827.0
934,1389853.375
935,1390634.25
936,1393239.5
937,1387561.5
938,1384431.375
939,1381711.125
940,1362873.875
941,1356822.75
942,1370231.0
943,1363505.5
944,1375770.625
945,1376526.875
946,1381376.0
947,1394693.125
948,1394951.125
949,1389581.875
950,1379089.5
951,1373321.125
952,1374627.875
953,1371384.25
954,1388859.5
955,1399947.875
956,1404811.25
957,1398411.75
958,1380742.75
959,1379242.25
960,1357209.875
961,1357091.0
962,1351940.625
963,1350456.625
964,1358866.0
965,1380138.875
966,1366822.0
967,1372662.125
968,1385720.625
969,1346414.875
